Zone                                           average_time_between_pickups
---------------------------------------------  ----------------------------
Allerton/Pelham Gardens                        13.28                       
Alphabet City                                  8.56                        
Arden Heights                                  118.52                      
Arrochar/Fort Wadsworth                        57.45                       
Astoria                                        3.15                        
Astoria Park                                   753.58                      
Auburndale                                     38.45                       
Baisley Park                                   57.23                       
Bath Beach                                     27.94                       
Battery Park                                   215.43                      
Battery Park City                              6.39                        
Bay Ridge                                      5.94                        
Bay Terrace/Fort Totten                        45.87                       
Bayside                                        17.43                       
Bedford                                        3.33                        
Bedford Park                                   5.7                         
Bellerose                                      43.16                       
Belmont                                        9.56                        
Bensonhurst East                               11.86                       
Bensonhurst West                               9.12                        
Bloomfield/Emerson Hill                        22.68                       
Bloomingdale                                   14.37                       
Boerum Hill                                    5.92                        
Borough Park                                   6.11                        
Breezy Point/Fort Tilden/Riis Beach            320.65                      
Briarwood/Jamaica Hills                        13.95                       
Brighton Beach                                 14.29                       
Broad Channel                                  661.48                      
Bronx Park                                     67.27                       
Bronxdale                                      10.45                       
Brooklyn Heights                               6.86                        
Brooklyn Navy Yard                             38.9                        
Brownsville                                    3.99                        
Bushwick North                                 4.09                        
Bushwick South                                 2.67                        
Cambria Heights                                28.05                       
Canarsie                                       3.56                        
Carroll Gardens                                13.6                        
Central Harlem                                 3.79                        
Central Harlem North                           2.77                        
Central Park                                   7.22                        
Charleston/Tottenville                         79.96                       
Chinatown                                      13.56                       
City Island                                    135.67                      
Claremont/Bathgate                             7.6                         
Clinton East                                   2.41                        
Clinton Hill                                   5.27                        
Clinton West                                   4.57                        
Co-Op City                                     51.08                       
Cobble Hill                                    22.25                       
College Point                                  23.08                       
Columbia Street                                60.37                       
Coney Island                                   11.46                       
Corona                                         8.69                        
Country Club                                   101.59                      
Crotona Park                                   180.0                       
Crotona Park East                              10.84                       
Crown Heights North                            1.96                        
Crown Heights South                            7.58                        
Cypress Hills                                  8.64                        
DUMBO/Vinegar Hill                             9.64                        
Douglaston                                     59.31                       
Downtown Brooklyn/MetroTech                    6.96                        
Dyker Heights                                  19.53                       
East Chelsea                                   23.65                       
East Concourse/Concourse Village               5.14                        
East Elmhurst                                  13.07                       
East Flatbush/Farragut                         6.04                        
East Flatbush/Remsen Village                   4.86                        
East Flushing                                  29.52                       
East Harlem North                              3.23                        
East Harlem South                              3.33                        
East New York                                  2.48                        
East New York/Pennsylvania Avenue              8.34                        
East Tremont                                   6.19                        
East Village                                   1.84                        
East Williamsburg                              4.28                        
Eastchester                                    10.17                       
Elmhurst                                       4.27                        
Elmhurst/Maspeth                               15.81                       
Eltingville/Annadale/Prince's Bay              80.47                       
Erasmus                                        8.6                         
Far Rockaway                                   15.54                       
Financial District North                       4.85                        
Financial District South                       13.39                       
Flatbush/Ditmas Park                           3.45                        
Flatiron                                       3.4                         
Flatlands                                      5.41                        
Flushing                                       6.87                        
Flushing Meadows-Corona Park                   61.74                       
Fordham South                                  11.96                       
Forest Hills                                   5.19                        
Forest Park/Highland Park                      208.57                      
Fort Greene                                    4.63                        
Fresh Meadows                                  36.8                        
Freshkills Park                                1340.14                     
Garment District                               4.13                        
Glen Oaks                                      42.51                       
Glendale                                       12.82                       
Governor's Island/Ellis Island/Liberty Island  69672.46                    
Gowanus                                        16.34                       
Gramercy                                       18.38                       
Gravesend                                      20.76                       
Great Kills                                    53.07                       
